step,policy_loss,qf1_loss,qf2_loss,vf_loss,vf_pred,alpha,wall_sec
100,-15.497852325439453,80.144775390625,73.99024200439453,0.03549853339791298,-0.7831107974052429,0.0,4.756559133529663
200,-85.65937805175781,62.33922576904297,45.76948547363281,0.3468307554721832,-3.4665164947509766,0.0,5.817844867706299
300,-74.6021728515625,48.319637298583984,38.964515686035156,2.3284189701080322,-4.539158344268799,0.0,10.180904150009155
400,-124.64892578125,48.10586166381836,37.17461013793945,2.0655620098114014,-7.3538498878479,0.0,14.60556411743164
500,-26.66897964477539,65.81122589111328,54.050865173339844,1.350368618965149,-7.236476421356201,0.0,18.630901098251343
600,-38.122222900390625,73.63945007324219,66.35081481933594,0.7569983005523682,-7.215032577514648,0.0,22.5039701461792
700,-119.65403747558594,62.20018005371094,59.17076110839844,1.1003185510635376,-9.070524215698242,0.0,26.312499046325684
800,-11.42661190032959,76.8067626953125,82.08245849609375,0.8013318777084351,-7.613081932067871,0.0,30.71464729309082
900,-36.6402587890625,93.77726745605469,75.9432144165039,0.7641803026199341,-7.729927062988281,0.0,35.69569396972656
1000,-12.47945499420166,82.9380874633789,82.99796295166016,0.7642298340797424,-7.073439598083496,0.0,37.52055478096008
1100,-20.996204376220703,91.4020004272461,84.30982971191406,0.5730125904083252,-6.457383155822754,0.0,42.09059691429138
1200,-6.122468948364258,103.8660888671875,103.92788696289062,0.569878876209259,-6.712520599365234,0.0,46.7973313331604
1300,-1.3734065294265747,110.9398422241211,104.85517883300781,1.0622406005859375,-4.939924240112305,0.0,52.9076087474823
1400,-3.2569572925567627,106.7223892211914,102.00385284423828,0.735303521156311,-6.863039493560791,0.0,57.84085011482239
1500,-8.475081443786621,103.6163330078125,104.73301696777344,0.5858010053634644,-8.238326072692871,0.0,62.19554853439331
1600,-44.14509582519531,124.57195281982422,131.17535400390625,0.741651713848114,-8.12222671508789,0.0,65.0922703742981
1700,-1.7413159608840942,127.36604309082031,129.1920928955078,0.6365447640419006,-8.467643737792969,0.0,70.95348453521729
1800,-26.889938354492188,114.7737045288086,122.78631591796875,0.6727511882781982,-7.958602428436279,0.0,75.72693300247192
1900,-3.2735280990600586,111.41090393066406,117.52813720703125,0.8982585072517395,-6.085268497467041,0.0,80.7083957195282
2000,-18.67719268798828,120.97349548339844,124.64984130859375,1.007824420928955,-8.746809005737305,0.0,85.87602853775024
2100,-140.15823364257812,139.15269470214844,136.8934326171875,1.2068978548049927,-8.014741897583008,0.0,92.14571523666382
2200,-3.4376747608184814,113.56111145019531,118.0665283203125,0.981997013092041,-7.416418075561523,0.0,94.49601745605469
2300,-4.8853888511657715,117.05381774902344,125.32669830322266,1.0091814994812012,-7.5577826499938965,0.0,99.06554102897644
2400,-12.345319747924805,113.80180358886719,121.2021484375,0.8961812257766724,-10.330609321594238,0.0,103.67065191268921
2500,-17.892927169799805,135.88150024414062,137.4371337890625,0.8597143888473511,-7.527239799499512,0.0,109.5531587600708
2600,-20.0039005279541,112.84723663330078,117.63335418701172,0.9734431505203247,-7.994429588317871,0.0,114.07840657234192
2700,-5.997171401977539,133.98890686035156,135.0546875,0.9490790367126465,-7.008731842041016,0.0,118.6514835357666
2800,-2.7772693634033203,131.93328857421875,136.67593383789062,0.8983544707298279,-8.799980163574219,0.0,123.19044613838196
